p (r/min),w (rad/s),Q1
0.0,0.0,0.5287307410687252
0.0,0.0,0.5287307410687252
0.0,0.0,0.5287307410687252
0.0,0.0,0.5287307410687252
0.0,0.0,0.5287307410687252
0.0,0.0,0.5287307410687252
0.0,0.0,0.5287307410687252
0.0,0.0,0.5287307410687252
0.0,0.0,0.5287307410687252
0.0,0.0,0.5287307410687252
0.0,0.0,0.5287307410687252
0.0,0.0,0.5287307410687252
0.0,0.0,0.5287307410687252
0.0,0.0,0.5287307410687252
0.0,0.0,0.5287307410687252
0.0,0.0,0.5287307410687252
0.0,0.0,0.5287307410687252
0.0,0.0,0.5287307410687252
0.0,0.0,0.5287307410687252
0.0,0.0,0.5287307410687252
0.0,0.0,0.5287307410687252
0.0,0.0,0.5287307410687252
0.0,0.0,0.5287307410687252
0.0,0.0,0.5287307410687252
0.0,0.0,0.5287307410687252
0.0,0.0,0.5287307410687252
0.0,0.0,0.5287307410687252
0.0,0.0,0.5287307410687252
0.0,0.0,0.5287307410687252
0.0,0.0,0.5287307410687252
0.0,0.0,0.5287307410687252
0.0,0.0,0.5287307410687252
0.0,0.0,0.5287307410687252
0.0,0.0,0.5287307410687252
0.0,0.0,0.5287307410687252
0.0,0.0,0.5287307410687252
0.0,0.0,0.5287307410687252
0.0,0.0,0.5287307410687252
0.0,0.0,0.5287307410687252
0.0,0.0,0.5287307410687252
0.0,0.0,0.5287307410687252
0.0,0.0,0.5287307410687252
0.0,0.0,0.5287307410687252
0.0,0.0,0.5287307410687252
0.0,0.0,0.5287307410687252
0.0,0.0,0.5287307410687252
0.0,0.0,0.5287307410687252
0.0,0.0,0.5287307410687252
0.0,0.0,0.5287307410687252
0.0,0.0,0.5287307410687252
0.0,0.0,0.5287307410687252
0.0,0.0,0.5287307410687252
0.0,0.0,0.5287307410687252
0.0,0.0,0.5287307410687252
0.0,0.0,0.5287307410687252
0.0,0.0,0.5287307410687252
0.0,0.0,0.5287307410687252
0.0,0.0,0.5287307410687252
0.0,0.0,0.5287307410687252
0.0,0.0,0.5287307410687252
0.0,0.0,0.5287307410687252
0.0,0.0,0.5287307410687252
0.0,0.0,0.5287307410687252
0.0,0.0,0.5287307410687252
0.0,0.0,0.5287307410687252
0.0,0.0,0.5287307410687252
0.0,0.0,0.5287307410687252
0.0,0.0,0.5287307410687252
0.0,0.0,0.5287307410687252
0.0,0.0,0.5287307410687252
0.0,0.0,0.5287307410687252
0.0,0.0,0.5287307410687252
0.0,0.0,0.5287307410687252
0.0,0.0,0.5287307410687252
0.0,0.0,0.5287307410687252
0.0,0.0,0.5287307410687252
0.055,0.0010472,0.46957931905006767
